objekt_id,breitengrad,laengengrad,gemeindebezirk_code,gemeindebezirk_bisher,gemeindebezirk_polygon,zaehlgebiet_code,zaehlbezirk_code,sub_district_code,prognoseregion_code,gebietstyp_code,gebietstyp,aggregierter_gebietstyp_code,aggregierter_gebietstyp,zuordnungsmethode,geometrie_datenstand,anzahl_polygon_treffer,grenzfall,grenznah_unter_1m,grenzdistanz_meter,bezirk_konsistent,zaehlbezirk_konsistent,qualitaetsstatus
18493,48.148819,16.335681,23,23,23,23021,2302,92302,23B,I,überwiegend industriell-gewerbliche Nutzung,ZI,industriell-gewerblich oder durch sonstige Nutzungen dominierte Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,63.830,1,1,eindeutig_zugeordnet
18494,48.229365,16.331534,18,18,18,18020,1802,91802,18B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,44.972,1,1,eindeutig_zugeordnet
18495,48.274886,16.416681,21,21,21,21103,2110,92110,21B,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,32.075,1,1,eindeutig_zugeordnet
18496,48.228499,16.324241,18,18,18,18049,1804,91804,18C,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,33.766,1,1,eindeutig_zugeordnet
18497,48.176118,16.383191,10,10,10,10021,1002,91002,10B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,15.572,1,1,eindeutig_zugeordnet
18499,48.240302,16.451814,22,22,22,22142,2214,92214,22E,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,31.171,1,1,eindeutig_zugeordnet
18500,48.191459,16.324314,15,15,15,15051,1505,91505,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,63.801,1,1,eindeutig_zugeordnet
18501,48.195841,16.409690,3,3,3,03072,0307,90307,3E,Z,überwiegend städtische Infrastruktur und sonstige Nutzungen,ZI,industriell-gewerblich oder durch sonstige Nutzungen dominierte Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,17.880,1,1,eindeutig_zugeordnet
18498,48.188983,16.329674,15,15,15,15057,1505,91505,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,24.951,1,1,eindeutig_zugeordnet
18502,48.151093,16.268730,23,23,23,23140,2314,92314,23F,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,32.760,1,1,eindeutig_zugeordnet
18503,48.190538,16.377002,4,4,4,04026,0402,90402,4B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,35.990,1,1,eindeutig_zugeordnet
18504,48.191614,16.360884,5,5,5,05016,0501,90501,5A,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,11.386,1,1,eindeutig_zugeordnet
18505,48.175758,16.414321,11,11,11,11033,1103,91103,11B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,15.412,1,1,eindeutig_zugeordnet
18506,48.221170,16.386604,2,2,2,02027,0202,90202,2B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,7.812,1,1,eindeutig_zugeordnet
18507,48.195323,16.316874,15,15,15,15065,1506,91506,15B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,87.154,1,1,eindeutig_zugeordnet
18508,48.213689,16.302591,16,16,16,16083,1608,91608,16E,Z,überwiegend städtische Infrastruktur und sonstige Nutzungen,ZI,industriell-gewerblich oder durch sonstige Nutzungen dominierte Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,35.128,1,1,eindeutig_zugeordnet
