gebietsebene,gebiet_code,indikator_code,stichtag,qualitaetsstatus,grund
zaehlbezirk,1106,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1107,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1108,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1109,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1110,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1111,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1112,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1113,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1201,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1202,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1203,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1204,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1205,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1206,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1207,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1208,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1209,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1210,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1211,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1301,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1302,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1303,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1304,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1305,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1306,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1307,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1308,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1309,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1310,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1311,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1401,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1402,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1403,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
